firstName,lastName,department,role,email
Austin,Neal,HR,Coordinator,austin.neal@tonytaylor567hotmail.onmicrosoft.com
Charles,Mejia,Sales,Representative,charles.mejia@tonytaylor567hotmail.onmicrosoft.com
Laura,Baker,Finance,Controller,laura.baker@tonytaylor567hotmail.onmicrosoft.com
Brianna,Berry,Sales,Manager,brianna.berry@tonytaylor567hotmail.onmicrosoft.com
Stephanie,Duncan,HR,Coordinator,stephanie.duncan@tonytaylor567hotmail.onmicrosoft.com
Elizabeth,Chavez,Engineering,Developer,elizabeth.chavez@tonytaylor567hotmail.onmicrosoft.com
Jason,Green,Engineering,Lead,jason.green@tonytaylor567hotmail.onmicrosoft.com
Devon,Campos,Sales,Manager,devon.campos@tonytaylor567hotmail.onmicrosoft.com
Steven,Moran,Finance,Manager,steven.moran@tonytaylor567hotmail.onmicrosoft.com
Annette,Mason,Finance,Controller,annette.mason@tonytaylor567hotmail.onmicrosoft.com
Janice,Lewis,Finance,Manager,janice.lewis@tonytaylor567hotmail.onmicrosoft.com
Megan,Cruz,Sales,Director,megan.cruz@tonytaylor567hotmail.onmicrosoft.com
Howard,Gaines,Sales,Director,howard.gaines@tonytaylor567hotmail.onmicrosoft.com
Vanessa,Schwartz,Engineering,Developer,vanessa.schwartz@tonytaylor567hotmail.onmicrosoft.com
Melissa,Lucero,Engineering,Lead,melissa.lucero@tonytaylor567hotmail.onmicrosoft.com
Timothy,Melendez,HR,Coordinator,timothy.melendez@tonytaylor567hotmail.onmicrosoft.com
Joshua,Alexander,HR,Manager,joshua.alexander@tonytaylor567hotmail.onmicrosoft.com
Susan,Hahn,Finance,Controller,susan.hahn@tonytaylor567hotmail.onmicrosoft.com
Mary,Cabrera,Engineering,Lead,mary.cabrera@tonytaylor567hotmail.onmicrosoft.com
George,Rodriguez,HR,Specialist,george.rodriguez@tonytaylor567hotmail.onmicrosoft.com
Michael,Rodriguez,HR,Coordinator,michael.rodriguez@tonytaylor567hotmail.onmicrosoft.com
Christopher,Richard,Engineering,Lead,christopher.richard@tonytaylor567hotmail.onmicrosoft.com
Matthew,Anderson,HR,Specialist,matthew.anderson@tonytaylor567hotmail.onmicrosoft.com
Jeffrey,Hood,Finance,Controller,jeffrey.hood@tonytaylor567hotmail.onmicrosoft.com
Brett,Hart,Finance,Controller,brett.hart@tonytaylor567hotmail.onmicrosoft.com
Stephanie,Stephens,Sales,Representative,stephanie.stephens@tonytaylor567hotmail.onmicrosoft.com
Leonard,Johnson,Sales,Representative,leonard.johnson@tonytaylor567hotmail.onmicrosoft.com
